StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,article_id,title,initials,access_article,access_supp,design,design_ev,design_judg,design_judg_4_TEXT,design_judg_rat,comments
2019-11-07 11:48:20,2019-11-07 11:54:49,IP Address,100,389,True,2019-11-07 11:54:49,R_2QWFQAcngyzKcpC,anonymous,EN-GB,Gugge2016ants16.7,Childhood febrile illness and the risk of myopia in UK Biobank participants,MG,Yes,Yes,no_statement,,cross-sectional,,No mention of follow up or case-control (no mention of cross-sectional either but design does not appear to be one of the others),
2019-11-07 11:54:51,2019-11-07 11:56:59,IP Address,100,128,True,2019-11-07 11:56:59,R_OkbVCBSwroXW4I9,anonymous,EN-GB,Peter2016bank.254,Women's reproductive health factors and body adiposity: findings from the UK Biobank,MG,Yes,Yes,cross-sectional,A cross-sectional analysis of 502 664 individuals from the UK Biobank was conducted.,,,,
2019-11-07 11:57:08,2019-11-07 11:59:34,IP Address,100,146,True,2019-11-07 11:59:34,R_3G3UYste2yM6r4O,anonymous,EN-GB,Kim2017tudy.122,Adiposity and grip strength as long-term predictors of objectively measured physical activity in 93 015 adults: the UK Biobank study,MG,Yes,Yes,cohort,"Therefore, the purpose of this study was to determine the independent and joint longitudinal associations of adiposity and GS with objectively measured PA in middle-aged and older adults participating in a large-scale prospective cohort.",,,,
2019-11-07 11:59:36,2019-11-07 12:09:09,IP Address,100,572,True,2019-11-07 12:09:09,R_08OivsHmjNnl5kd,anonymous,EN-GB,Davie2018bank79-y,The Causal Effects of Education on Health Outcomes in the UK Biobank,MG,Yes,Yes,no_statement,,cohort,,Follow-up for the linked mortality data started with the first death on 10 May 2006 and ended with the last recorded death on 17 February 2014.,
2019-11-07 12:09:36,2019-11-07 12:12:14,IP Address,100,158,True,2019-11-07 12:12:14,R_1DtKxPSXT73mEzf,anonymous,EN-GB,Orteg2017bank97-5,"A Prospective Investigation of Body Size, Body Fat Composition and Colorectal Cancer Risk in the UK Biobank",MG,Yes,Yes,cohort,"A Prospective Investigation of Body Size, Body Fat Composition and Colorectal Cancer Risk in the UK Biobank",,,,
2019-11-07 12:13:10,2019-11-07 12:15:17,IP Address,100,127,True,2019-11-07 12:15:18,R_3Oe5eLa3EZHK4pK,anonymous,EN-GB,Culle2018bank68-6,Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank,MG,Yes,Yes,"cohort,cross-sectional",Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank,,,,
2019-11-07 12:15:21,2019-11-07 12:19:41,IP Address,100,260,True,2019-11-07 12:19:41,R_2QDtyIBOD2r6hTg,anonymous,EN-GB,Day2015tudy1208,"Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study",MG,Yes,Yes,cross-sectional,The main limitation of our study is the cross-sectional design with reliance on self-reported medical histories and recalled measures of the exposures.,,,,
2019-11-07 12:19:44,2019-11-07 12:23:16,IP Address,100,211,True,2019-11-07 12:23:16,R_21aD61gQqUeBqQI,anonymous,EN-GB,Ruth2016tudy4710,Events in Early Life are Associated with Female Reproductive Ageing: A UK Biobank Study,MG,Yes,Yes,cross-sectional,"We included cross-sectional data from 273,474 women from the UK Biobank, recruited in 2006–2010 from across the UK.",,,,
2019-11-07 12:27:13,2019-11-07 12:30:34,IP Address,100,200,True,2019-11-07 12:30:34,R_ZgW1KL7NuwWtWEh,anonymous,EN-GB,Malon2017mple7639,Differences in morning-evening type and sleep duration between Black and White adults: Results from a propensity-matched UK Biobank sample,MG,Yes,Yes,cross-sectional,Cross-sectional data from 502 642 participants were obtained.,,,,
2019-11-07 12:30:38,2019-11-07 12:34:36,IP Address,100,238,True,2019-11-07 12:34:36,R_21mMVRswExsYyrL,anonymous,EN-GB,vonSc2018hort4458,"Associations between chronotype, morbidity and mortality in the UK Biobank cohort",MG,Yes,Yes,cohort,The unique strengths of this study include its large sample size and the prospective study design.,,,,
2019-11-07 12:34:39,2019-11-07 12:44:33,IP Address,100,594,True,2019-11-07 12:44:33,R_WBAa1LDMOGMjXAl,anonymous,EN-GB,Wyse2017up/>2045,"Adverse metabolic and mental health outcomes associated with shiftwork in a population-based study of 277,168 workers in UK biobank<sup/>",MG,Yes,Yes,no_statement,,case-control,,shift-work and non-shift-work are case and control,
2019-11-07 12:44:52,2019-11-07 12:48:22,IP Address,100,209,True,2019-11-07 12:48:22,R_2cdBpIMnUoa6wRe,anonymous,EN-GB,Wyse2018bank2389,"Population-level seasonality in cardiovascular mortality, blood pressure, BMI and inflammatory cells in UK biobank",MG,Yes,Present but not accessible,,,,,,
2019-11-07 12:48:29,2019-11-07 12:52:05,IP Address,100,215,True,2019-11-07 12:52:05,R_XzSvZPVfX8PQMbD,anonymous,EN-GB,Tong2018banky042,Anthropometric and physiologic characteristics in white and British Indian vegetarians and nonvegetarians in the UK Biobank,MG,Yes,Yes,cross-sectional,We aimed to perform cross-sectional analyses of diet group with anthropometric and physiologic characteristics in a large cohort in the United Kingdom.,,,,
2019-11-07 12:52:08,2019-11-07 12:54:44,IP Address,100,156,True,2019-11-07 12:54:44,R_5gTiXdeQ9U2XCdr,anonymous,EN-GB,Wyse2018bank2389,"Population-level seasonality in cardiovascular mortality, blood pressure, BMI and inflammatory cells in UK biobank",MG,Yes,Not present,cross-sectional,"In this cross-sectional study in UK Biobank, we report annual variations in cardiovascular risk factors and mortality that were associated with day length independent of environmental and lifestyle factors.",,,,Redid saying the supplementary material was there (even though it wasn't) so I could document the method/design as it was clearly stated.
2019-11-07 12:54:49,2019-11-07 12:56:43,IP Address,100,113,True,2019-11-07 12:56:43,R_3ni14caLYsOOwOv,anonymous,EN-GB,Bakra2018bankx273,Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank,MG,Yes,Yes,"cohort,cross-sectional",Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank,,,,
2019-11-07 12:56:45,2019-11-07 12:58:33,IP Address,100,107,True,2019-11-07 12:58:33,R_urLdueyfGV8E5pv,anonymous,EN-GB,Celis2018antsy134,"Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",MG,Yes,Yes,cross-sectional,"Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",,,,
2019-11-07 12:58:34,2019-11-07 13:03:08,IP Address,100,273,True,2019-11-07 13:03:08,R_3HNvAehNzEpNTRf,anonymous,EN-GB,Celis2017antsw249,The association between physical activity and risk of mortality is modulated by grip strength and cardiorespiratory fitness: evidence from 498 135 UK-Biobank participants,MG,Yes,Yes,cohort,"In this prospective, population-based study, all-cause mortality, and incidence of CVD were the outcomes; CRF, grip strength, and total physical activity were the exposure variables; and socio-demographic factors (age, sex, ethnicity, area socioeconomic deprivation index), smoking status, body mass index (BMI), diagnosis of diabetes, cancer, heart disease (stroke, high blood pressure angina, and heart attack) and longstanding illness were covariates.",,,,
2019-11-07 13:03:10,2019-11-07 13:09:51,IP Address,100,401,True,2019-11-07 13:09:52,R_VPuPp3SGkaWZWNz,anonymous,EN-GB,Lyall2017antsw528,Associations between single and multiple cardiometabolic diseases and cognitive abilities in 474 129 UK Biobank participants,MG,Yes,Yes,cross-sectional,"The current study used only the baseline data from UK Biobank and was, therefore, cross-sectional in nature, albeit of a scale rarely seen",,,,
2019-11-07 13:09:55,2019-11-07 13:15:47,IP Address,100,351,True,2019-11-07 13:15:47,R_1HcL9gYFbPri972,anonymous,EN-GB,Yates2017tudyx449,"Association of walking pace and handgrip strength with all-cause, cardiovascular, and cancer mortality: a UK Biobank observational study",MG,Yes,Yes,no_statement,,cohort,,"In the full cohort, Cox-proportional hazard models were used to investigate the association of walking pace and handgrip strength with mortality using age as time scale.",
2019-11-07 13:15:53,2019-11-07 13:24:09,IP Address,100,495,True,2019-11-07 13:24:09,R_10w7uvruq09Lacv,anonymous,EN-GB,Iliod2018centy057,The impact of confounding on the associations of different adiposity measures with the incidence of cardiovascular disease: a cohort study of 296 535 adults of white European descent,MG,Yes,Yes,cohort,The impact of confounding on the associations of different adiposity measures with the incidence of cardiovascular disease: a cohort study of 296 535 adults of white European descent,,,,
2019-11-07 13:24:13,2019-11-07 13:28:10,IP Address,100,237,True,2019-11-07 13:28:11,R_2wh5mMLCveTRXOg,anonymous,EN-GB,Jani2018hortx322,Multimorbidity and co-morbidity in atrial fibrillation and effects on survival: findings from UK Biobank cohort,MG,Yes,Yes,no_statement,,cohort,,"Multimorbidity and co-morbidity in atrial fibrillation and effects on survival: findings from UK Biobank cohort ",
2019-11-07 13:28:12,2019-11-07 13:31:43,IP Address,100,210,True,2019-11-07 13:31:43,R_vPibxkBjukAvuBH,anonymous,EN-GB,Atkin2019ortsy083,"Impact of Low Cardiovascular Risk Profiles on Geriatric Outcomes: Evidence From 421,000 Participants in Two Cohorts",MG,Yes,Yes,"cohort,cross-sectional","We used Cox proportional hazards regression models to estimate hazard ratios (HRs) between CRS categories and all-cause mortality. For incident disease, we used Fine and Gray competing risk models to estimate HRs, including all-cause mortality as a competing risk: sub-HR (19). Logistic regression was used to assess cross-sectional associations in UKB.",,,,
2019-11-07 13:31:46,2019-11-07 14:52:26,IP Address,100,4840,True,2019-11-07 14:52:27,R_2YLM5NxGdrOOj6b,anonymous,EN-GB,Willi2019antsy094,A Frailty Index for UK Biobank Participants,MG,Yes,Yes,no_statement,,cohort,,"To validate the measure, we assessed associations of the FI with age, sex, and risk of all-cause mortality (follow-up ≤ 9.7 years) using linear and Cox proportional hazards regression models.",
2019-11-07 14:52:28,2019-11-07 15:00:09,IP Address,100,460,True,2019-11-07 15:00:09,R_UYD6yvBJuxmVkvn,anonymous,EN-GB,Tyrre2013tudyt220,Parental diabetes and birthweight in 236 030 individuals in the UK biobank study,MG,Yes,Yes,no_statement,,cross-sectional,,association between change in birth weight and parental diabetes.,
2019-11-07 15:00:24,2019-11-07 15:03:54,IP Address,100,210,True,2019-11-07 15:03:56,R_2z7jJaEFsMz1Q1X,anonymous,EN-GB,Coope2017tudyw054,Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study,MG,Yes,Yes,"cohort,cross-sectional","We used multiple linear regression models to examine the cross-sectional, longitudinal and bidirectional associations between moderate-to-vigorous physical activity (MVPA) and grip strength, adjusting for potential confounding by age, sex, height, weight, health status, education level, smoking status, Townsend deprivation index and retirement status.",,,,
2019-11-07 15:04:11,2019-11-07 15:06:48,IP Address,100,157,True,2019-11-07 15:06:49,R_3fe1kif8Wu7T2RD,anonymous,EN-GB,Ander2017entsw173,Adiposity among 132 479 UK Biobank participants; contribution of sugar intake vs other macronutrients,MG,Yes,Yes,cross-sectional,"We conducted a cross-sectional study and, therefore, cannot demonstrate a temporal relationship between diet and adiposity. ",,,,
2019-11-07 15:06:52,2019-11-07 15:10:58,IP Address,100,246,True,2019-11-07 15:10:58,R_2Y5sQ6SvbBMyCu0,anonymous,EN-GB,Stile2017bankx080,A small amount of precisely measured high-intensity habitual physical activity predicts bone health in pre- and post-menopausal women in UK Biobank,MG,Yes,Yes,cross-sectional," In a cross-sectional analysis, associations between categories of time (<1, 1–2 and ≥2 minutes) spent above the intensity thresholds and calcaneal quantitative ultrasound measures of bone health (bone mineral density T-score, BMDT-score; speed of sound, SOS; and broadband ultrasound attenuation, BUA) were examined.",,,,
2019-11-07 15:11:01,2019-11-07 15:15:37,IP Address,100,276,True,2019-11-07 15:15:37,R_REKpOecMHATYQnL,anonymous,EN-GB,Magnu2018COPDy221,Independent and combined associations of maternal and own smoking with adult lung function and COPD,MG,Yes,Yes,no_statement,,cohort,,"The association between maternal smoking and COPD also varied by pack-years of own smoking, with a hazard ratio of 2.25 (1.30, 3.89) for ≤10 years, 1.23 (0.80, 1.89) for 11–20 years, 1.30 (0.85, 2.01) for 21–30 years and 1.14 (0.91, 1.43) for >30 years.",
2019-11-07 15:15:40,2019-11-07 15:17:42,IP Address,100,121,True,2019-11-07 15:17:42,R_23eNJciTUsL0iar,anonymous,EN-GB,Travi2016diesw169,Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies,MG,Yes,Yes,cohort,Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies,,,,
2019-11-07 15:18:42,2019-11-07 15:21:21,IP Address,100,158,True,2019-11-07 15:21:21,R_3IQ6WPxqvrr0ICS,anonymous,EN-GB,Boaky2018antsx102,Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants,MG,Yes,Yes,cross-sectional,"This cross-sectional study used data from the UK Biobank: a cohort study of 502 655 participants, of whom 498 208 provided self-reported data on smoking and sleep characteristics.",,,,
2019-11-07 15:21:24,2019-11-07 15:25:47,IP Address,100,263,True,2019-11-07 15:25:48,R_20Nk2glgTqbzN4J,anonymous,EN-GB,Piuma2018bankx186,The relationship between alcohol use and long-term cognitive decline in middle and late life: a longitudinal analysis using UK Biobank,MG,Yes,Not present,cohort,The relationship between alcohol use and long-term cognitive decline in middle and late life: a longitudinal analysis using UK Biobank,,,,
2019-11-07 15:25:50,2019-11-07 15:27:17,IP Address,100,86,True,2019-11-07 15:27:17,R_2xXyI1shF5zhZ6j,anonymous,EN-GB,Macka2018antsy155,"The association between driving time and unhealthy lifestyles: a cross-sectional, general population study of 386 493 UK Biobank participants",MG,Yes,Yes,cross-sectional,"In a cross-sectional study of UK Biobank participants, driving time was treated as an ordinal variable and other lifestyle factors dichotomized into low/high risk based on guidelines. ",,,,
2019-11-07 15:27:20,2019-11-07 15:32:29,IP Address,100,309,True,2019-11-07 15:32:29,R_2pVPO2IRmTdBlrp,anonymous,EN-GB,Cook2018banky224,The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank,MG,Yes,Yes,cross-sectional,The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank,,,,
2019-11-07 15:32:32,2019-11-07 15:35:17,IP Address,100,164,True,2019-11-07 15:35:17,R_1eEFunr1R7pHgc3,anonymous,EN-GB,Firth2018bankx149,The Validity and Value of Self-reported Physical Activity and Accelerometry in People With Schizophrenia: A Population-Scale Study of the UK Biobank,MG,Yes,Yes,cross-sectional,"We conducted a cross-sectional analysis of data from the baseline assessments for the UK Biobank study, collected between 2007 and 2010.",,,,
2019-11-07 15:35:21,2019-11-07 15:50:20,IP Address,100,899,True,2019-11-07 15:50:21,R_3oFQ4DhpyUnXbRS,anonymous,EN-GB,Firth2018antsy034,Grip Strength Is Associated With Cognitive Performance in Schizophrenia and the General Population: A UK Biobank Study of 476559 Participants,MG,Yes,Yes,cross-sectional,We performed a cross-sectional analysis of data collected between 2007 and 2010 from the baseline assessments for the UK Biobank.,,,,
2019-11-07 15:50:38,2019-11-07 15:56:26,IP Address,100,348,True,2019-11-07 15:56:27,R_2CTZSaaKP0tX1yy,anonymous,EN-GB,Dawes2014gdom0010,Hearing in middle age: a population snapshot of 40- to 69-year olds in the United Kingdom,MG,Yes,Yes,no_statement,,cross-sectional,,Objectives: To report population-based prevalence of hearing impairment based on speech recognition in noise testing in a large and inclusive sample of U.K. adults aged 40 to 69 years. The present study is the first to report such data. Prevalence of tinnitus and use of hearing aids is also reported.,
2019-11-07 15:56:33,2019-11-07 15:58:46,IP Address,100,132,True,2019-11-07 15:58:46,R_0JkydePa7vtPFnj,anonymous,EN-GB,Tyrre2014ease0041,"Prevalence, associated factors, and comorbid conditions for Meniere's disease",MG,Yes,Not present,cross-sectional,"The authors used cross-sectional data from the UK Biobank to compare 1376 self-reported Meniere's participants with over 500,000 without Meniere's.",,,,
2019-11-07 15:58:52,2019-11-07 16:01:15,IP Address,100,143,True,2019-11-07 16:01:15,R_3nBgbWuFjoPOe9L,anonymous,EN-GB,Tyrre2015bank0132,"Associations of Leg Length, Trunk Length, and Total Adult Height With Meniere's: Cross-Sectional Analysis in the UK Biobank",MG,Yes,Not present,cross-sectional,"Cross-sectional data from the UK Biobank were used to compare 1,327 self-reported Meniere's cases with 479,500 controls.",,,,
2019-11-07 16:01:25,2019-11-07 16:05:17,IP Address,100,232,True,2019-11-07 16:05:17,R_31nM10kalXHviiM,anonymous,EN-GB,Keids2016tion0196,The Effect of Functional Hearing and Hearing Aid Usage on Verbal Reasoning in a Large Community-Dwelling Population,MG,Yes,Not present,cross-sectional,Cross-sectional data on 40- to 70-year-old community-dwelling participants from the UK Biobank resource were accessed.,,,,
2019-11-07 16:05:22,2019-11-07 16:16:45,IP Address,100,683,True,2019-11-07 16:16:45,R_3nqMdU1GjUUTF66,anonymous,EN-GB,Rudne2016urce0314,Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing: Data From the UK Biobank Resource,MG,Yes,Not present,no_statement,,case-control,,The nonstandardized regression coefficients resulting from the analysis were used to estimate the effect of VSWM between hearing groups.,
2019-11-07 16:16:48,2019-11-07 16:22:04,IP Address,100,315,True,2019-11-07 16:22:04,R_2zHJe2aHZvEOfPU,anonymous,EN-GB,Pierz2016tion0341,Tinnitus and Sleep Difficulties After Cochlear Implantation,MG,Yes,Yes,cross-sectional,Objectives: To estimate and compare the prevalence of and associations between tinnitus and sleep difficulties in a sample of UK adult cochlear implant users and those identified as potential candidates for cochlear implantation.,,,,
2019-11-07 16:22:06,2019-11-07 16:27:49,IP Address,100,342,True,2019-11-07 16:27:49,R_2XiEiP1Zgo4EqXh,anonymous,EN-GB,Magnu2017tics0712,Number of Offspring and Cardiovascular Disease Risk in Men and Women: The Role of Shared Lifestyle Characteristics,MG,Yes,Not present,cohort,"In this large-scale, prospective cohort study",,,,
2019-11-15 18:50:57,2019-11-15 19:12:27,IP Address,100,1289,True,2019-11-15 19:12:27,R_2Cp5de6y1UmOxll,anonymous,EN-GB,Spenc2018ases1293,Medications that relax the lower oesophageal sphincter and risk of oesophageal cancer: An analysis of two independent population-based databases,kd,Yes,Yes,no_statement,,case-control,,compared exposures of people with and without oesophageal cancer,
2019-11-15 19:12:33,2019-11-15 19:23:04,IP Address,100,630,True,2019-11-15 19:23:05,R_2tx6hrnL9StUWi8,anonymous,EN-GB,McMen2018bank1375,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,kd,Yes,Not present,no_statement,,case-control,,Investigated associations between hormonal and reproductive factors and risk of oesophageal and gastric cancer over time,
2019-11-15 19:23:08,2019-11-15 19:38:16,IP Address,100,907,True,2019-11-15 19:38:17,R_12osNmvVLSciCl6,anonymous,EN-GB,Guo2018hort1394,Adiposity and breast cancer risk in postmenopausal women: Results from the UK Biobank prospective cohort,kd,Yes,Yes,no_statement,,case-control,,Examine associations between multiple adiposity measures and breast cancer cases & controls over time.,
2019-11-15 19:38:21,2019-11-15 19:47:51,IP Address,100,569,True,2019-11-15 19:47:51,R_2cpCiGidJGmWirn,anonymous,EN-GB,Harve2018hort3375,Calcium and Vitamin D Supplementation Are Not Associated With Risk of Incident Ischemic Cardiac Events or Death: Findings From the UK Biobank Cohort,kd,Yes,Not present,no_statement,,cohort,,Examine multiple outcomes from exposure to calcium and vitamin D supplementation over time,
2019-11-15 19:48:10,2019-11-15 19:58:37,IP Address,100,626,True,2019-11-15 19:58:37,R_2c8BuUQ3hSq1VYe,anonymous,EN-GB,Papag2019omen2359,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women,kd,Yes,Yes,no_statement,,case-control,,Examines associations of multiple measures of muscle mass in women with & without osteoporosis over time,
2019-11-15 19:58:40,2019-11-15 20:10:27,IP Address,100,706,True,2019-11-15 20:10:27,R_1g2qcISuix1bT30,anonymous,EN-GB,Pacco2018bank26-8,Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank,kd,Yes,Yes,no_statement,,cohort,,Found prior fragility fracture was associated with ischaemic cardiovascular events measured at follow up in men,
2019-11-15 20:10:29,2019-11-15 20:14:35,IP Address,100,246,True,2019-11-15 20:14:35,R_3e4el8IhD8pJeGc,anonymous,EN-GB,Cassi2018ants61-8,"Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants",kd,Yes,Not present,no_statement,,case-control,,investigate whether there is an association between cardio-metabolic disease status and accelerometer variables after a 5-year follow-up.,
2019-11-15 20:14:37,2019-11-15 20:18:36,IP Address,100,239,True,2019-11-15 20:18:37,R_3MAvVrDUT8uREAs,anonymous,EN-GB,Dawes2014loss61-0,"Cigarette smoking, passive smoking, alcohol consumption, and hearing loss",kd,Yes,Not present,cross-sectional,"""This study utilized a cross-sectional correlational design""",,,,
2019-11-15 20:18:40,2019-11-15 20:25:30,IP Address,100,409,True,2019-11-15 20:25:30,R_3PdxoH7POHuCKdC,anonymous,EN-GB,Yaghj2018bank28-x,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank,kd,Yes,Not present,no_statement,,case-control,,investigated the associations of coffee consumption in women with & without breast cancer,
2019-11-15 20:30:53,2019-11-15 20:40:31,IP Address,100,578,True,2019-11-15 20:40:31,R_3NPaTGz6qfc8S9X,anonymous,EN-GB,Kim2018risk84-x,"The combination of cardiorespiratory fitness and muscle strength, and mortality risk",kd,Yes,Yes,no_statement,,cohort,,"compare the relative risk of all-cause mortality for cardiorespiratory fitness, grip strength, and their combination",
2019-11-15 20:40:34,2019-11-15 20:48:59,IP Address,100,504,True,2019-11-15 20:49:00,R_1gvzYmw6QkGMwnu,anonymous,EN-GB,Mille2018ioma59-y,Handedness and the risk of glioma,kd,Yes,Yes,cohort,"""Subjects included in the cohort analysis were selected from...the UKBiobank""",,,,
2019-11-15 20:49:02,2019-11-15 20:50:37,IP Address,100,94,True,2019-11-15 20:50:37,R_2qF1z2YsLaFmC35,anonymous,EN-GB,Walke2016bank52-1,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank,kd,Yes,Not present,cross-sectional,"""In this cross-sectional analysis of the UK Biobank""",,,,
2019-11-15 20:50:40,2019-11-15 20:52:41,IP Address,100,121,True,2019-11-15 20:52:41,R_Zgd14jAZClSXJnP,anonymous,EN-GB,Patte2016bank97-5,"Smoking, Screen-Based Sedentary Behavior, and Diet Associated with Habitual Sleep Duration and Chronotype: Data from the UK Biobank",kd,Yes,Yes,cross-sectional,"""Cross-sectional data from 501,766 participants were obtained""",,,,
2019-11-16 00:14:14,2019-11-16 00:26:43,IP Address,100,748,True,2019-11-16 00:26:43,R_2EAK7JEShrShQ1H,anonymous,EN-GB,Dixon2019hort50-2,The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort,kd,Yes,Yes,no_statement,,other,,EXCLUDE,EXCLUDE THIS PAPER BECAUSE IT LOOKS AT ASSOCIATION BETWEEN ADIPOSITY AND COSTS
2019-11-16 00:26:57,2019-11-16 00:32:21,IP Address,100,324,True,2019-11-16 00:32:21,R_3hmEyycuw8f8T2a,anonymous,EN-GB,Guo2015bank.015,Physical activity in relation to body size and composition in women in UK Biobank,kd,Yes,Yes,cross-sectional,"""Our cross-sectional study""",,,,
2019-11-16 00:32:23,2019-11-16 00:35:45,IP Address,100,201,True,2019-11-16 00:35:45,R_ZK7kDN2QSM8Wtjz,anonymous,EN-GB,Steel2019ants.003,"Associations of dietary protein intake with bone mineral density: An observational study in 70,215 UK Biobank participants",kd,Yes,Yes,cross-sectional,"""the cross-sectional nature of this study""",,,,
2019-11-16 00:35:52,2019-11-16 00:38:56,IP Address,100,184,True,2019-11-16 00:38:56,R_3CJcspizn1di0ik,anonymous,EN-GB,Littl2016arch.010,Lifestyle factors and prostate-specific antigen (PSA) testing in UK Biobank: Implications for epidemiological research,kd,Yes,Not present,cross-sectional,"""cross-sectional association between a wide range of ... characteristics with PSA testing was examined""",,,,
2019-11-16 00:40:07,2019-11-16 00:58:08,IP Address,100,1081,True,2019-11-16 00:58:08,R_1ikcKZPbCTprQDN,anonymous,EN-GB,Kunzm2018noma.014,Model for Identifying Individuals at Risk for Esophageal Adenocarcinoma,kd,Yes,Yes,cohort,"""This cohort study used prospective data from the UK Biobank""",,,,
2019-11-16 00:58:16,2019-11-16 01:20:40,IP Address,100,1344,True,2019-11-16 01:20:40,R_1OkTPaLtbrozLYq,anonymous,EN-GB,Ander2018ysis.022,Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis,kd,Yes,Yes,no_statement,,cohort,,"""We studied whether red and processed meat consumption were associated with the risk of breast cancer in UK Biobank; then included the results in a meta-analysis of prospective cohort studies""",
2019-11-16 01:20:45,2019-11-16 01:23:30,IP Address,100,164,True,2019-11-16 01:23:31,R_1gunuh7X10cE0fM,anonymous,EN-GB,Sarka2017bank.016,Residential greenness and adiposity: Findings from the UK Biobank,kd,Yes,Yes,cross-sectional,""" The cross sectional study employed N = 353,670 (70.4%) participants of the UK Biobank""",,,,
2019-11-16 01:23:34,2019-11-16 01:27:35,IP Address,100,241,True,2019-11-16 01:27:35,R_1gjrCuInsjVU3nV,anonymous,EN-GB,Culle2015ants.006,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",kd,Yes,Yes,cross-sectional,"""Cross-sectional analysis of baseline data from the UK Biobank""",,,,
2019-11-16 01:27:45,2019-11-16 01:31:03,IP Address,100,197,True,2019-11-16 01:31:03,R_3K0l5OBch87BUkx,anonymous,EN-GB,Navra2017orts.012,Intelligence and neuroticism in relation to depression and psychological distress: Evidence from two large population cohorts,kd,Yes,Yes,cross-sectional,"""The cross-sectional associations between neuroticism, general intelligence (g), MDD, self-reported depression, and psychological distress were examined in ... UK Biobank.""",,,,
2019-11-16 01:32:18,2019-11-16 01:40:50,IP Address,100,512,True,2019-11-16 01:40:50,R_O2reoikSfyC9CG5,anonymous,EN-GB,Day2015tudy0031,"Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study",kd,Yes,Not present,cohort,"""the UK Biobank study, we aimed to assess the impact of this seasonality on birth weight, age at menarche, adult height and body mass index (BMI)""",,,,
2019-11-16 10:59:04,2019-11-16 11:05:17,IP Address,100,372,True,2019-11-16 11:05:17,R_1jp36gWTRSEeiKh,anonymous,EN-GB,Yates2018tudy.006,"Reaction time, cardiorespiratory fitness and mortality in UK Biobank: An observational study",kd,Yes,Yes,no_statement,,cohort,,"investigates ""whether intelligence, reaction time and cardiorespiratory fitness are independently associated with all-cause mortality"" at follow up",
2019-11-16 11:05:22,2019-11-16 11:09:57,IP Address,100,274,True,2019-11-16 11:09:57,R_d42kbTWIjZwA49z,anonymous,EN-GB,Lyall2018hort.106,Seasonality of depressive symptoms in women but not in men: A cross-sectional study in the UK Biobank cohort,kd,Yes,Yes,cross-sectional,"""In a cross-sectional analysis of >150,000 participants of the UK Biobank cohort""",,,,
2019-11-16 11:10:02,2019-11-16 11:18:11,IP Address,100,489,True,2019-11-16 11:18:12,R_1oi1lFUWPF6g92r,anonymous,EN-GB,Cleut2014bank.007,Cognitive Functioning in Obstructive Lung Disease: Results from the United Kingdom Biobank,kd,Yes,Yes,no_statement,,cross-sectional,,"""Cognitive functioning was compared between persons with and without"" lung disease at one time point",
2019-11-16 11:18:38,2019-11-16 11:22:17,IP Address,100,219,True,2019-11-16 11:22:17,R_3MQcAvsivnVeBLj,anonymous,EN-GB,Cumbe2015omes.040,Laser refractive surgery in the UK Biobank study,kd,Yes,Not present,cross-sectional,"""DESIGN: Cross-sectional epidemiological study""",,,,
