"variable","question","qual_var_name","import_num"
"20_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 20. Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence - Text","Q36_15_TEXT",214
"21","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results","Q36_16",215
"21_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results - Text","Q36_16_TEXT",216
"22_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study","Q36_17",217
"22_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study - Text","Q36_17_TEXT",218
"22_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study","Q36_18",219
"22_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study - Text","Q36_18_TEXT",220
"22_iii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based","Q36_19",221
"22_iii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based - Text","Q36_19_TEXT",222
"22_iv","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based","Q36_20",223
"22_iv_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based - Text","Q36_20_TEXT",224
"comments","comments.","Q37",225
"email","email. Corresponding author's email (Search article for ‘corresponding’, ‘@’)","Q38",226
"country","country. Extract country from corresponding author’s affiliations","Q39",227
"ukb_app","ukb_app. UK Biobank application number (Search article for all these terms: ‘application’ , ‘approv’ , ‘number’ , ‘Resource’. If not found examine any strings of numbers in article)","Q40",228
"keywords","keywords. Author keywords (Extract from page 1. If not on page 1 search article for ‘keywords’)","Q41",229
"coi","coi. Conflict of interest statement (Search article material for all these   terms: ‘competing’, ‘interest’ ,‘conflict’ , ‘disclosure’","Q42",230
"Q22_89_TEXT - Parent Topics","Q22_89_TEXT - Parent Topics","Q22_89_TEXT - Parent Topics",231
"Q22_89_TEXT - Topics","Q22_89_TEXT - Topics","Q22_89_TEXT - Topics",232
