"num","article_id","title","access_article","access_supp","comments.kd","comments.mg","design_ev.kd","design_ev.mg","design_judg_4_TEXT.kd","design_judg_4_TEXT.mg","design_judg_rat.kd","design_judg_rat.mg","title_sub","design_all.kd","design_all.mg","supp_location","resol_becky","resol_correct_design"
75,"Drega2017ders1214","Cardiovascular and type 2 diabetes morbidity and all-cause mortality among diverse chronic inflammatory disorders","Yes","Yes",NA,NA,"""Methods The UK Biobank data were used to conduct two investigations: a cross-sectional study to estimate cardiometabolic risk and a prospective cohort study to estimate mortality risk""","The UK Biobank data were used to conduct two investigations: a cross-sectional study to estimate cardiometabolic risk and a prospective cohort study to estimate mortality risk",NA,NA,NA,NA,"cardiovascularandtypediabetesmorbidityandallcausemortalityamongdiversechronicinflammatorydisorders","cohort,cross-sectional","cohort,cross-sectional",NA,NA,NA
81,"Drega2018tudy2610","Arterial stiffness association with chronic inflammatory disorders in the UK Biobank study","Yes","Yes",NA,NA,NA,NA,NA,NA,"""The present study tested the hypothesis that arterial stiffness will be elevated across overall and specific inflammatory disorders compared with an inflammation-free comparison group."". Outcome and exposure measures were taken at the same time and they only included ""267<U+2009>440 women and 215<U+2009>088 men without a history of CVD at baseline""","Objective The present study tested the hypothesis that arterial stiffness will be elevated across overall and specific inflammatory disorders compared with an inflammation-free comparison group.","arterialstiffnessassociationwithchronicinflammatorydisordersintheukbiobankstudy","cross-sectional","cross-sectional",NA,FALSE,"cross-sectional"
100,"Duart2017hods0071","Visualization of Cancer and Cardiovascular Disease Co-Occurrence With Network Methods","Yes","Yes",NA,"Not sure",NA,NA,"UNCERTAIN",NA,"Sample based on outcome but looks like outcome was measured at same time as exposure and that measures reflect current situation","In total, 13,972 patients diagnosed with one of the most common cancers—Hodgkin lymphoma (n = 117), non-Hodgkin lymphoma (n = 1,028), lung and trachea cancer (n = 840), uterus cancer (n = 851), colorectal cancer (n = 2,410), prostate cancer (n = 2,892), or breast cancer (n = 6,094)—and 476,870 patients without cancer were included in the study.","visualizationofcancerandcardiovasculardiseasecooccurrencewithnetworkmethods","other","case-control",NA,TRUE,NA
13,"Elova2017tudy75-0","Contribution of risk factors to excess mortality in isolated and lonely individuals: an analysis of data from the UK Biobank cohort study","Yes","Yes",NA,NA,NA,"We used prospective follow-up data from the UK Biobank cohort study to assess self-reported isolation (a three-item scale) and loneliness (two questions).",NA,NA,"""We used prospective follow-up data from the UK Biobank cohort study to assess ... isolation ... and loneliness,,, The main outcomes were all-cause and cause-specific mortality""",NA,"contributionofriskfactorstoexcessmortalityinisolatedandlonelyindividualsananalysisofdatafromtheukbiobankcohortstudy","cohort","cohort",NA,NA,NA
144,"Elwoo2018bank.792","Healthy living and cancer: evidence from UK Biobank","Yes","Not present",NA,NA,NA,NA,NA,NA,"""We therefore examined the relationships between healthy behaviours... and the risk of all cancers .. in a large dataset."" Did not sample based on outcome. Cancer measured at follow up","Data on lifestyle behaviours were provided by 343,150 subjects, and height and weight were measured at recruitment. 14,285 subjects were diagnosed with cancer during a median of 5.1 years of follow-up.","healthylivingandcancerevidencefromukbiobank","cohort","cohort",NA,NA,NA
158,"Emerg2015lity7008","Association of Cardiometabolic Multimorbidity With Mortality","Yes","Yes",NA,"Uses Cox proportional hazards regression models",NA,"We analyzed individual participant data in the Emerging Risk Factors Collaboration (ERFC) from 689<U+202F>300 participants recruited during 1960 through 2007 into 91 prospective cohorts that have recorded mortality during prolonged follow-up. We compared the ERFC results with those from the UK Biobank, a prospective cohort study of 499<U+202F>808 participants recruited during 2006 through 2010.",NA,NA,"They obtained information about people and their exposures at baseline (history of diabetes, MI or stroke) and then assessed whether they died at follow up",NA,"associationofcardiometabolicmultimorbiditywithmortality","cohort","cohort",NA,NA,NA
48,"Falco2017bank7132","Patterns and correlates of active commuting in adults with type 2 diabetes: cross-sectional evidence from UK Biobank","Yes","Not present",NA,NA,"""Design Cross-sectional analysis of a cohort study.""","Design Cross-sectional analysis of a cohort study.",NA,NA,NA,NA,"patternsandcorrelatesofactivecommutinginadultswithtypediabetescrosssectionalevidencefromukbiobank","cross-sectional","cross-sectional",NA,NA,NA
145,"Fergu2018ants3551","Men across a range of ethnicities have a higher prevalence of diabetes: findings from a cross-sectional study of 500 000 UK Biobank participants","Yes","Not present",NA,NA,"Prevalence study ""This cross-sectional study analysed UK Biobank data from 489 079 participants to compare the prevalence of diabetes mellitus across four major ethnic groups""","This cross-sectional study analysed UK Biobank data from 489 079 participants to compare the prevalence of diabetes mellitus across four major ethnic groups including: 471 700 (96.4%) white, 7871 (1.6%) South Asian, 7974 (1.6%) black and 1534 (0.3%) Chinese participants, before and after standardizing for age, socio-economic status (SES), BMI and lifestyle factors including physical activity, TV viewing, fruit and vegetable intake, processed meat, red meat, oily fish, alcohol intake and smoking.",NA,NA,NA,NA,"menacrossarangeofethnicitieshaveahigherprevalenceofdiabetesfindingsfromacrosssectionalstudyofukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
23,"Firth2018antsy034","Grip Strength Is Associated With Cognitive Performance in Schizophrenia and the General Population: A UK Biobank Study of 476559 Participants","Yes","Yes",NA,NA,"""We performed a cross-sectional analysis of ... baseline assessments for the UK Biobank.""","We performed a cross-sectional analysis of data collected between 2007 and 2010 from the baseline assessments for the UK Biobank.",NA,NA,NA,NA,"gripstrengthisassociatedwithcognitiveperformanceinschizophreniaandthegeneralpopulationaukbiobankstudyofparticipants","cross-sectional","cross-sectional",NA,NA,NA
175,"Firth2018bankx149","The Validity and Value of Self-reported Physical Activity and Accelerometry in People With Schizophrenia: A Population-Scale Study of the UK Biobank","Yes","Yes",NA,NA,"""We conducted a cross-sectional analysis of data from the baseline assessments for the UK Biobank study""","We conducted a cross-sectional analysis of data from the baseline assessments for the UK Biobank study, collected between 2007 and 2010.",NA,NA,NA,NA,"thevalidityandvalueofselfreportedphysicalactivityandaccelerometryinpeoplewithschizophreniaapopulationscalestudyoftheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
156,"Firth2018rols0503","Association Between Muscular Strength and Cognition in People With Major Depression or Bipolar Disorder and Healthy Controls","Yes","Yes",NA,NA," In this cross-sectional analysis of a population-scale data set of 110<U+202F>067 individuals, handgrip strength was significantly associated with all 5 domains of cognition in people with major depression and in healthy controls, independently of confounding factors. ","In a multicenter, population-based study conducted between February 13, 2005, and October 1, 2010, in the United Kingdom, cross-sectional analysis was conducted of baseline data from 110<U+202F>067 participants in the UK Biobank.",NA,NA,NA,NA,"associationbetweenmuscularstrengthandcognitioninpeoplewithmajordepressionorbipolardisorderandhealthycontrols","cross-sectional","cross-sectional",NA,NA,NA
127,"Flint2016bank06-8","Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank","Yes","Not present","RR",NA,NA,"Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank","UNCERTAIN",NA,"same issue as with other weight paper",NA,"changeincommutemodeandbodymassindexprospectivelongitudinalevidencefromukbiobank","cohort","cohort",NA,FALSE,"cohort"
29,"Foste2018hort00-7","The effect of socioeconomic deprivation on the association between an extended measurement of unhealthy lifestyle factors and health outcomes: a prospective analysis of the UK Biobank cohort","Yes","Yes",NA,NA,"""This was a prospective, population-based cohort study of participants enrolled in the UK Biobank.""","This was a prospective, population-based cohort study of participants enrolled in the UK Biobank.",NA,NA,NA,NA,"theeffectofsocioeconomicdeprivationontheassociationbetweenanextendedmeasurementofunhealthylifestylefactorsandhealthoutcomesaprospectiveanalysisoftheukbiobankcohort","cohort","cohort",NA,NA,NA
123,"Gale2017bank9813","When Is Higher Neuroticism Protective Against Death? Findings From UK Biobank","Yes","Yes",NA,NA,NA,NA,NA,NA,"""We used data from UK Biobank to investigate the association between neuroticism and mortality"". Outcome measured at follow up. Did not sample based on outcome","After adjustment for age and sex, a 1-SD increment in neuroticism was associated with a 6% increase in all-cause mortality (hazard ratio = 1.06, 95% confidence interval = [1.03, 1.09]).","whenishigherneuroticismprotectiveagainstdeathfindingsfromukbiobank","cohort","cohort",NA,NA,NA
133,"Galla2018ants.129","Risk factors and mortality associated with multimorbidity in people with stroke or transient ischaemic attack: a study of 8,751 UK Biobank participants","Yes","Yes",NA,NA,NA,NA,NA,NA,"""Objective \n To examine multimorbidity and its associations with sociodemographic/lifestyle risk factors and all-cause mortality in UK Biobank participants with stroke or transient ischaemic attack"". Did not sample based on outcome. Mortality measured at follow up","Median follow-up was 7 years.","riskfactorsandmortalityassociatedwithmultimorbidityinpeoplewithstrokeortransientischaemicattackastudyofukbiobankparticipants","cohort","cohort",NA,NA,NA
93,"Gugge2015rder3556","Role of Educational Exposure in the Association Between Myopia and Birth Order","Yes","Yes",NA,NA,"Cross-sectional study of UK Biobank participants recruited from 2006 to 2010.","Design, Setting, and Participants  Cross-sectional study of UK Biobank participants recruited from 2006 to 2010.",NA,NA,NA,NA,"roleofeducationalexposureintheassociationbetweenmyopiaandbirthorder","cross-sectional","cross-sectional",NA,NA,NA
28,"Gugge2016ants16.7","Childhood febrile illness and the risk of myopia in UK Biobank participants","Yes","Yes",NA,NA,NA,NA,NA,NA,"Found ""a history of childhood measles,rubella, or pertussis was associated with high myopia""","No mention of follow up or case-control (no mention of cross-sectional either but design does not appear to be one of the others)","childhoodfebrileillnessandtheriskofmyopiainukbiobankparticipants","case-control","case-control",NA,TRUE,"case-control"
108,"Guo2015bank.015","Physical activity in relation to body size and composition in women in UK Biobank","Yes","Yes",NA,NA,"""Our cross-sectional study""","Our cross-sectional study included 38,201 premenopausal and 94,592 postmenopausal healthy women aged 40 to 70 years in UK Biobank, recruited from 2006 to 2010.",NA,NA,NA,NA,"physicalactivityinrelationtobodysizeandcompositioninwomeninukbiobank","cross-sectional","cross-sectional",NA,NA,NA
120,"Guo2018hort1394","Adiposity and breast cancer risk in postmenopausal women: Results from the UK Biobank prospective cohort","Yes","Yes",NA,NA,NA,"Adiposity and breast cancer risk in postmenopausal women: Results from the UK Biobank prospective cohort",NA,NA,"Examine associations between multiple adiposity measures and breast cancer cases & controls over time.",NA,"adiposityandbreastcancerriskinpostmenopausalwomenresultsfromtheukbiobankprospectivecohort","cohort","cohort",NA,FALSE,"cohort"
157,"Hakul2018omen2663","Social isolation and loneliness as risk factors for myocardial infarction, stroke and mortality: UK Biobank cohort study of 479 054 men and women","Yes","Yes",NA,NA,NA,NA,NA,NA,"""Associations between social isolation and loneliness with incident AMI, stroke and mortality after AMI or stroke were examined using Cox proportional hazards models"". Did not sample based on outcome (i.e. AMI, stroke and mortality)","The mean follow-up was 7.1 years (range 5.4 to 10.0 years). ","socialisolationandlonelinessasriskfactorsformyocardialinfarctionstrokeandmortalityukbiobankcohortstudyofmenandwomen","cohort","cohort",NA,NA,NA
138,"Hanlo2018ants91-4","Frailty and pre-frailty in middle-aged and older adults and its association with multimorbidity and mortality: a prospective analysis of 493 737 UK Biobank participants","Yes","Yes",NA,NA,"""This was a prospective, population-based cohort study of participants enrolled in the UK Biobank""","This was a prospective, population-based cohort study of participants enrolled in the UK Biobank.",NA,NA,NA,NA,"frailtyandprefrailtyinmiddleagedandolderadultsanditsassociationwithmultimorbidityandmortalityaprospectiveanalysisofukbiobankparticipants","cohort","cohort",NA,NA,NA
170,"Hanlo2018tudy8404","Examining patterns of multimorbidity, polypharmacy and risk of adverse drug reactions in chronic obstructive pulmonary disease: a cross-sectional UK Biobank study","Yes","Yes",NA,NA,"""Design Cross-sectional.""","Design Cross-sectional.",NA,NA,NA,NA,"examiningpatternsofmultimorbiditypolypharmacyandriskofadversedrugreactionsinchronicobstructivepulmonarydiseaseacrosssectionalukbiobankstudy","cross-sectional","cross-sectional",NA,NA,NA
31,"Harve2018hort3375","Calcium and Vitamin D Supplementation Are Not Associated With Risk of Incident Ischemic Cardiac Events or Death: Findings From the UK Biobank Cohort","Yes","Not present",NA,NA,NA,"The average follow-up time was 7 years and the maximum 10 years. ",NA,NA,"Examine multiple outcomes from exposure to calcium and vitamin D supplementation over time",NA,"calciumandvitamindsupplementationarenotassociatedwithriskofincidentischemiccardiaceventsordeathfindingsfromtheukbiobankcohort","cohort","cohort",NA,NA,NA
102,"Iliod2018centy057","The impact of confounding on the associations of different adiposity measures with the incidence of cardiovascular disease: a cohort study of 296 535 adults of white European descent","Yes","Yes",NA,NA,"""a cohort study of 296<U+2009>535 adults of white European descent""","The impact of confounding on the associations of different adiposity measures with the incidence of cardiovascular disease: a cohort study of 296<U+2009>535 adults of white European descent",NA,NA,NA,NA,"theimpactofconfoundingontheassociationsofdifferentadipositymeasureswiththeincidenceofcardiovasculardiseaseacohortstudyofadultsofwhiteeuropeandescent","cohort","cohort",NA,NA,NA
17,"Ingel2015tudy75-1","5 year mortality predictors in 498,103 UK Biobank participants: a prospective population-based study","Yes","Yes",NA,NA,"""In this large, contemporary prospective cohort study""","5 year mortality predictors in 498<U+2008>103 UK Biobank participants: a prospective population-based study",NA,NA,NA,NA,"yearmortalitypredictorsinukbiobankparticipantsaprospectivepopulationbasedstudy","cohort","cohort",NA,NA,NA
166,"Jani2018hortx322","Multimorbidity and co-morbidity in atrial fibrillation and effects on survival: findings from UK Biobank cohort","Yes","Yes",NA,NA,NA,NA,NA,NA,"""Aims: To examine the number and type of co-morbid long-term health conditions (LTCs) and their associations with all-cause mortality in an atrial fibrillation (AF) population.""","Multimorbidity and co-morbidity in atrial fibrillation and effects on survival: findings from UK Biobank cohort ","multimorbidityandcomorbidityinatrialfibrillationandeffectsonsurvivalfindingsfromukbiobankcohort","cohort","cohort",NA,NA,NA
147,"Jenki2018king2508","Adiposity-Mortality Relationships in Type 2 Diabetes, Coronary Heart Disease, and Cancer Subgroups in the UK Biobank, and Their Modification by Smoking","Yes","Yes",NA,NA,"""Main Findings \n This large cohort study provides several original observations. ""","We therefore assessed the relationships between several measures of adiposity and mortality in a prospective cohort of UK Biobank participants",NA,NA,NA,NA,"adipositymortalityrelationshipsintypediabetescoronaryheartdiseaseandcancersubgroupsintheukbiobankandtheirmodificationbysmoking","cohort","cohort",NA,NA,NA
83,"Keids2015sion6503","On the relationship between functional hearing and depression","Yes","Not present",NA,NA,"""Design: Cross-sectional data from the UK Biobank resource ... were accessed and analysed using multi-regression analyses.""","Design: Cross-sectional data from the UK Biobank resource, including subjective and behavioural measures of functional hearing and multifactorial measures of depressive episodes and symptoms, were accessed and analysed using multi-regression analyses.",NA,NA,NA,NA,"ontherelationshipbetweenfunctionalhearinganddepression","cross-sectional","cross-sectional",NA,NA,NA
90,"Keids2016tion0196","The Effect of Functional Hearing and Hearing Aid Usage on Verbal Reasoning in a Large Community-Dwelling Population","Yes","Yes",NA,NA,"""Design: Cross-sectional data ... from the UK Biobank resource were accessed.""","Cross-sectional data on 40- to 70-year-old community-dwelling participants from the UK Biobank resource were accessed.",NA,NA,NA,NA,"theeffectoffunctionalhearingandhearingaidusageonverbalreasoninginalargecommunitydwellingpopulation","cross-sectional","cross-sectional",NA,NA,NA
109,"Khurs2018ults6273","Frequency of Cardiac Rhythm Abnormalities in a Half Million Adults","Yes","Yes",NA,NA,NA,NA,NA,NA,"""We tested associations between risk factors and incident rhythm abnormalities using multivariable proportional hazards regression"". Did not sample based on outcome","During 3 368 332 person-years of follow-up, 15 906 new rhythm abnormalities were detected (4.72 per 1000 person-years; 95% confidence interval [CI]: 4.65–4.80).","frequencyofcardiacrhythmabnormalitiesinahalfmillionadults","cohort","cohort",NA,NA,NA
64,"Kim2017tudy.122","Adiposity and grip strength as long-term predictors of objectively measured physical activity in 93 015 adults: the UK Biobank study","Yes","Yes",NA,NA,NA,"Therefore, the purpose of this study was to determine the independent and joint longitudinal associations of adiposity and GS with objectively measured PA in middle-aged and older adults participating in a large-scale prospective cohort.",NA,NA,"aimed to determine ""the independent and joint longitudinal associations of adiposity and GS with objectively measured PA"" over follow-up. Participants not sampled based on outcome.  ",NA,"adiposityandgripstrengthaslongtermpredictorsofobjectivelymeasuredphysicalactivityinadultstheukbiobankstudy","cohort","cohort",NA,NA,NA
94,"Kim2017tudy6851","Independent and joint associations of grip strength and adiposity with all-cause and cardiovascular disease mortality in 403,199 adults: the UK Biobank study","Yes","Yes",NA,NA,NA,NA,NA,NA,"""The purpose of this study was to examine the associations between GS, adiposity, and mortality."" Did not sample based on outcome. Outcome measured at follow up.","Independent and joint associations of grip strength and adiposity with all-cause and cardiovascular disease mortality in 403,199 adults: the UK Biobank study ","independentandjointassociationsofgripstrengthandadipositywithallcauseandcardiovasculardiseasemortalityinadultstheukbiobankstudy","cohort","cohort",NA,NA,NA
60,"Kim2018risk84-x","The combination of cardiorespiratory fitness and muscle strength, and mortality risk","Yes","Yes",NA,NA,NA,"This analysis is based on data from 70,913 men and women (832 all-cause, 177 cardiovascular and 503 cancer deaths over 5.7-year follow-up)",NA,NA,"compare the relative risk of all-cause mortality for cardiorespiratory fitness, grip strength, and their combination",NA,"thecombinationofcardiorespiratoryfitnessandmusclestrengthandmortalityrisk","cohort","cohort",NA,NA,NA
172,"Knott2018bank.018","Changes in the mode of travel to work and the severity of depressive symptoms: a longitudinal analysis of UK Biobank","Yes","Yes","RR",NA,NA,"Changes in the mode of travel to work and the severity of depressive symptoms: a longitudinal analysis of UK Biobank","uncertain",NA,"uncertain for same reason as Kyle2017bank.001 ",NA,"changesinthemodeoftraveltoworkandtheseverityofdepressivesymptomsalongitudinalanalysisofukbiobank","cohort","cohort",NA,FALSE,"cohort"
161,"Kunzm2018bank3558","Physical activity, sedentary behaviour and risk of oesophago-gastric cancer: A prospective cohort study within UK Biobank","Yes","Yes",NA,NA,"""Objective: This prospective cohort study aimed to assess the association between physical activity and risk of oesophageal or gastric cancer""","Physical activity, sedentary behaviour and risk of oesophago-gastric cancer: A prospective cohort study within UK Biobank",NA,NA,NA,NA,"physicalactivitysedentarybehaviourandriskofoesophagogastriccanceraprospectivecohortstudywithinukbiobank","cohort","cohort",NA,NA,NA
10,"Kunzm2018noma.014","Model for Identifying Individuals at Risk for Esophageal Adenocarcinoma","Yes","Yes",NA,NA,"""This cohort study used prospective data from the UK Biobank""","This cohort study used prospective data from the UK Biobank, which recruited 502,640 men and women aged 40–69 years from 1 of 22 centers located across England, Scotland, and Wales between 2006 and 2010.",NA,NA,NA,NA,"modelforidentifyingindividualsatriskforesophagealadenocarcinoma","cohort","cohort",NA,NA,NA
1,"Kyle2017bank.001","Sleep and cognitive performance: cross-sectional associations in the UK Biobank","Yes","Yes",NA,NA,"""Methods: This cross-sectional, population-based study""","Sleep and cognitive performance: cross-sectional associations in the UK Biobank",NA,NA,NA,NA,"sleepandcognitiveperformancecrosssectionalassociationsintheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
174,"Lindh2018tion8970","Bioimpedance and New-Onset Heart Failure: A Longitudinal Study of >500 000 Individuals From the General Population","Yes","Yes","exclude? Otherwise a cohort design",NA,NA,"A Longitudinal Study of >500 000 Individuals From the General Population","machine learning",NA,"""We hypothesized that novel risk factors for incident heart failure in the UK Biobank ... could be identified in an agnostic search by machine learning techniques, combined with confirmatory in-depth analyses.""",NA,"bioimpedanceandnewonsetheartfailurealongitudinalstudyofindividualsfromthegeneralpopulation","other","cohort",NA,TRUE,NA
59,"Littl2016arch.010","Lifestyle factors and prostate-specific antigen (PSA) testing in UK Biobank: Implications for epidemiological research","Yes","Not present",NA,NA,"""cross-sectional association between a wide range of ... characteristics with PSA testing was examined""","The cross-sectional association between a wide range of sociodemographic, lifestyle, dietary and health characteristics with PSA testing was examined in 212,039 men aged 40–69 years in UK Biobank.",NA,NA,NA,NA,"lifestylefactorsandprostatespecificantigenpsatestinginukbiobankimplicationsforepidemiologicalresearch","cross-sectional","cross-sectional",NA,NA,NA
26,"Lopha2017ings0288","Development of a Cancer Risk Prediction Tool for Use in the UK Primary Care and Community Settings","Yes","Not present","Exclude? also exclude other paper that compares 14 risk models?",NA,NA,NA,"model validation",NA,"""To demonstrate model validation, we selected breast cancer risk prediction as an example. The UKBiobank cohort was used for the validation exercise""","no mention of case-control or cross-sectional (appears to be looking at longitudinal data","developmentofacancerriskpredictiontoolforuseintheukprimarycareandcommunitysettings","other","cohort",NA,TRUE,NA
15,"Lyall2016hort2154","Low birth weight and features of neuroticism and mood disorder in 83 545 participants of the UK Biobank cohort","Yes","Not present","RR",NA,"""Retrospective cohort study using baseline data on the 83 545 UK Biobank participants""","Retrospective cohort study using baseline data on the 83 545 UK Biobank participants with detailed mental health and birth weight data. Main outcomes were prevalent MDD and BD, and neuroticism assessed using the Eysenck Personality Inventory Neuroticism scale - Revised (EPIN-R)",NA,NA,NA,NA,"lowbirthweightandfeaturesofneuroticismandmooddisorderinparticipantsoftheukbiobankcohort","cohort","cohort",NA,NA,NA
58,"Lyall2017antsw528","Associations between single and multiple cardiometabolic diseases and cognitive abilities in 474 129 UK Biobank participants","Yes","Yes",NA,NA,"""The current study used only the baseline data from UK Biobank and was, therefore, cross-sectional in nature""","The current study used only the baseline data from UK Biobank and was, therefore, cross-sectional in nature, albeit of a scale rarely seen",NA,NA,NA,NA,"associationsbetweensingleandmultiplecardiometabolicdiseasesandcognitiveabilitiesinukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
114,"Lyall2018bank39-1","Association of disrupted circadian rhythmicity with mood disorders, subjective wellbeing, and cognitive function: a cross-sectional study of 91 105 participants from the UK Biobank","Yes","Yes",NA,NA,"""crosssectional associations between low relative amplitude and mood disorder, wellbeing and cognitive variables were examined. ""","Association of disrupted circadian rhythmicity with mood disorders, subjective wellbeing, and cognitive function: a cross-sectional study of 91<U+2008>105 participants from the UK Biobank",NA,NA,NA,NA,"associationofdisruptedcircadianrhythmicitywithmooddisorderssubjectivewellbeingandcognitivefunctionacrosssectionalstudyofparticipantsfromtheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
137,"Lyall2018hort.106","Seasonality of depressive symptoms in women but not in men: A cross-sectional study in the UK Biobank cohort","Yes","Yes",NA,NA,"""In a cross-sectional analysis of >150,000 participants of the UK Biobank cohort""","Seasonality of depressive symptoms in women but not in men: A cross-sectional study in the UK Biobank cohort",NA,NA,NA,NA,"seasonalityofdepressivesymptomsinwomenbutnotinmenacrosssectionalstudyintheukbiobankcohort","cross-sectional","cross-sectional",NA,NA,NA
139,"Macfa2014tors5302","Self-Reported Facial Pain in UK Biobank Study: Prevalence and Associated Factors","Yes","Not present",NA,NA,"""Material and Methods: Cross-sectional population data were obtained from UK Biobank""","Cross-sectional population data were obtained from UK Biobank (www.ukbiobank.ac.uk/) study which was conducted in 2006 - 2010 and recruited over 500,000 people.",NA,NA,NA,NA,"selfreportedfacialpaininukbiobankstudyprevalenceandassociatedfactors","cross-sectional","cross-sectional",NA,NA,NA
97,"Macfa2017ysis1476","Persons with chronic widespread pain experience excess mortality: longitudinal results from UK Biobank and meta-analysis","Yes","Not present",NA,NA,NA,"Persons with chronic widespread pain experience excess mortality: longitudinal results from UK Biobank and meta-analysis",NA,NA,"""We ... model the relationship between [chronic widespread pain] and all-cause mortality, adjusted for age group and sex"". Sample according to exposure",NA,"personswithchronicwidespreadpainexperienceexcessmortalitylongitudinalresultsfromukbiobankandmetaanalysis","cohort","cohort",NA,NA,NA
76,"Macka2018antsy155","The association between driving time and unhealthy lifestyles: a cross-sectional, general population study of 386 493 UK Biobank participants","Yes","Yes",NA,NA,"""In a cross-sectional study of UK Biobank participants""","In a cross-sectional study of UK Biobank participants, driving time was treated as an ordinal variable and other lifestyle factors dichotomized into low/high risk based on guidelines. ",NA,NA,NA,NA,"theassociationbetweendrivingtimeandunhealthylifestylesacrosssectionalgeneralpopulationstudyofukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
140,"Magnu2017tics0712","Number of Offspring and Cardiovascular Disease Risk in Men and Women: The Role of Shared Lifestyle Characteristics","Yes","Yes",NA,NA,"""In this large-scale, prospective cohort study, the association between number of offspring and risk of overall CVD, IHD, and hypertensive disorders was similar in both sexes, with the nadir of risk among those with no children.""","In this large-scale, prospective cohort study",NA,NA,NA,NA,"numberofoffspringandcardiovasculardiseaseriskinmenandwomentheroleofsharedlifestylecharacteristics","cohort","cohort",NA,NA,NA
99,"Magnu2018COPDy221","Independent and combined associations of maternal and own smoking with adult lung function and COPD","Yes","Yes",NA,NA,NA,NA,NA,NA,"Did not sample based on outcome. ""We used UK Biobank to examine associations of maternal smoking around delivery, and pack-years of own smoking, with lung function (n<U+2009>=<U+2009>502<U+2009>626) and hospitalization/death from COPD"". COPD measure was taken at follow up.","The association between maternal smoking and COPD also varied by pack-years of own smoking, with a hazard ratio of 2.25 (1.30, 3.89) for =10 years, 1.23 (0.80, 1.89) for 11–20 years, 1.30 (0.85, 2.01) for 21–30 years and 1.14 (0.91, 1.43) for >30 years.","independentandcombinedassociationsofmaternalandownsmokingwithadultlungfunctionandcopd","cohort","cohort",NA,NA,NA
53,"Malon2016mple7729","Ethnic differences in sleep duration and morning-evening type in a population sample","Yes","Not present",NA,NA,"""This cross-sectional population study examined associations of sleep duration and morning–evening type with sociodemographic and cardiometabolic disease in adults participating in the UK Biobank study""","This cross-sectional population study examined associations of sleep duration and morning–evening type with sociodemographic and cardiometabolic disease in adults participating in the UK Biobank study (N = 439 933).",NA,NA,NA,NA,"ethnicdifferencesinsleepdurationandmorningeveningtypeinapopulationsample","cross-sectional","cross-sectional",NA,NA,NA
141,"Malon2017mple7639","Differences in morning-evening type and sleep duration between Black and White adults: Results from a propensity-matched UK Biobank sample","Yes","Not present",NA,NA,NA,"Cross-sectional data from 502 642 participants were obtained.","propensity score modeling",NA,"""This study aimed to determine if these ethno-racial differences persisted after accounting for an even broader range of ... characteristics and employing ...  propensity score modeling""",NA,"differencesinmorningeveningtypeandsleepdurationbetweenblackandwhiteadultsresultsfromapropensitymatchedukbiobanksample","cross-sectional","cross-sectional",NA,TRUE,"cross-sectional"
35,"Marti2016tudy7784","Cardiometabolic disease and features of depression and bipolar disorder: population-based, cross-sectional study","Yes","Yes",NA,NA,"""Method \n Cross-sectional study of 145 991 UK Biobank participants""","Cross-sectional study of 145 991 UK Biobank participants: multivariate analyses of associations between features of depression or bipolar disorder and five cardiometabolic outcomes, adjusting for confounding factors.",NA,NA,NA,NA,"cardiometabolicdiseaseandfeaturesofdepressionandbipolardisorderpopulationbasedcrosssectionalstudy","cross-sectional","cross-sectional",NA,NA,NA
142,"Mason2018bank12-8","Associations between fast food and physical activity environments and adiposity in mid-life: cross-sectional, observational evidence from UK Biobank","Yes","Yes",NA,NA,"""We used cross-sectional observational data from UK Biobank.""","Associations between fast food and physical activity environments and adiposity in mid-life: cross-sectional, observational evidence from UK Biobank",NA,NA,NA,NA,"associationsbetweenfastfoodandphysicalactivityenvironmentsandadiposityinmidlifecrosssectionalobservationalevidencefromukbiobank","cross-sectional","cross-sectional",NA,FALSE,"cross-sectional"
98,"McCor2014tion.018","The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population","Yes","Not present",NA,NA,NA,NA,NA,NA,"""examined the association between tinnitus and ... neuroticism"" at one time point","we calculated the prevalence of tinnitus and that which is perceived as bothersome, and examined the association between tinnitus and a putative predisposing personality factor, neuroticism.","theprevalenceoftinnitusandtherelationshipwithneuroticisminamiddleagedukpopulation","cross-sectional","cross-sectional",NA,NA,NA
116,"McCor2014tion4711","Association of dietary factors with presence and severity of tinnitus in a middle-aged UK population","Yes","Yes",NA,NA,"""However, as a cross-sectional study, this work can only suggest associations of diet with tinnitus reporting and generate hypotheses""","This study used the UK Biobank resource, a large cross-sectional study of adults aged 40–69.",NA,NA,NA,NA,"associationofdietaryfactorswithpresenceandseverityoftinnitusinamiddleagedukpopulation","cross-sectional","cross-sectional",NA,NA,NA
