variable,question,qualtric_var
s22_iv,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based",Q36_20
s22_iv_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iv. If applicable, give the the role of the funders for the original study on which the present article is based - Text",Q36_20_TEXT
comments,comments.,Q37
exposure,exposure. Do the authors state what their exposures are?  (Search article & relevant supplementary material for this term: 'exposure' | 'risk factor' | 'determinant' | 'independent' | 'explanatory'),Q45
exposure_ev,exposure_ev. If applicable give evidence for your response to the question above,Q46
outcome,outcome. Do the authors state what their outcomes are?  (Search article & relevant supplementary material for this term: 'outcome' | 'dependent' | 'endpoint'),Q47
outcome_ev,outcome_ev. If applicable give evidence for your response to the question above,Q48
email,"email. Corresponding author's email (Search article for ‘corresponding’, ‘@’)",Q38
country,country. Extract country from corresponding author’s affiliations,Q39
ukb_app,"ukb_app. UK Biobank application number (Search article for all these terms: ‘application’ , ‘approv’ , ‘number’ , ‘Resource’. If not found examine any strings of numbers in article)",Q40
keywords,keywords. Author keywords (Extract from page 1. If not on page 1 search article for ‘keywords’),Q41
coi,"coi. Conflict of interest statement (Search article material for all these   terms: ‘competing’, ‘interest’ ,‘conflict’ , ‘disclosure’",Q42
